Energy [eV],Flux [Phot/sec/0.1%bw]
4.021321321321321011e+04,8.733824910078144531e+12
4.027317317317317065e+04,8.691211145325671875e+12
4.033313313313313120e+04,8.648807729070692383e+12
4.039309309309309174e+04,8.606613601542944336e+12
4.045305305305305228e+04,8.564627708481513672e+12
4.051301301301301282e+04,8.522849001150876953e+12
4.057297297297297337e+04,8.481276436300235352e+12
4.063293293293293391e+04,8.439908976129987305e+12
4.069289289289289445e+04,8.398745588231625977e+12
4.075285285285285499e+04,8.357785245627033203e+12
4.081281281281281554e+04,8.317026926664804688e+12
4.087277277277277608e+04,8.276469615025030273e+12
4.093273273273272935e+04,8.236112299699871094e+12
4.099269269269268989e+04,8.195953974936463867e+12
4.105265265265265043e+04,8.155993640232419922e+12
4.111261261261261097e+04,8.116230300280587891e+12
4.117257257257257152e+04,8.076662964976206055e+12
4.123253253253253206e+04,8.037290649353117188e+12
4.129249249249249260e+04,7.998112373572117188e+12
4.135245245245245314e+04,7.959127162880925781e+12
4.141241241241241369e+04,7.920334047622132812e+12
4.147237237237237423e+04,7.881732063149935547e+12
4.153233233233233477e+04,7.843320249838640625e+12
4.159229229229229531e+04,7.805097653052822266e+12
4.165225225225225586e+04,7.767063323102607422e+12
4.171221221221220912e+04,7.729216315243587891e+12
4.177217217217216967e+04,7.691555689607167969e+12
4.183213213213213021e+04,7.654080511227026367e+12
4.189209209209209075e+04,7.616789849973416992e+12
4.195205205205205129e+04,7.579682780541722656e+12
4.201201201201201184e+04,7.542758382401984375e+12
4.207197197197197238e+04,7.506015739819627930e+12
4.213193193193193292e+04,7.469453941787702148e+12
4.219189189189189347e+04,7.433073583805158203e+12
4.225185185185185401e+04,7.396870774458625977e+12
4.231181181181181455e+04,7.360846104962421875e+12
4.237177177177177509e+04,7.324998683026151367e+12
4.243173173173172836e+04,7.289327620963369141e+12
4.249169169169168890e+04,7.253832035686657227e+12
4.255165165165164944e+04,7.218511048673994141e+12
4.261161161161160999e+04,7.183363785926251953e+12
4.267157157157157053e+04,7.148389377974325195e+12
4.273153153153153107e+04,7.113586959829633789e+12
4.279149149149149162e+04,7.078955670963674805e+12
4.285145145145145216e+04,7.044494655296876953e+12
4.291141141141141270e+04,7.010203061168828125e+12
4.297137137137137324e+04,6.976080041291881836e+12
4.303133133133133379e+04,6.942124752761218750e+12
4.309129129129129433e+04,6.908336357015968750e+12
4.315125125125125487e+04,6.874714019810384766e+12
4.321121121121120814e+04,6.841256911189148438e+12
4.327117117117116868e+04,6.807964205482275391e+12
4.333113113113112922e+04,6.774835081277039062e+12
4.339109109109108977e+04,6.741868721360429688e+12
4.345105105105105031e+04,6.709064312752176758e+12
4.351101101101101085e+04,6.676421046630317383e+12
4.357097097097097139e+04,6.643938118344538086e+12
4.363093093093093194e+04,6.611614727385159180e+12
4.369089089089089248e+04,6.579450077337626953e+12
